sl_no,paper_id,title,Author(s),venue,year,abstract,keywords,source,url,retrieved_at,seed_query,region,notes
54,268904471,Coding and Computational Thinking Across the Curriculum: A Review of Educational Outcomes,"Kathy A. Mills, Jen Cope, Laura Scholes, Luke Rowe",Review of Educational Research,2024,"Teaching coding and computational thinking is an emerging educational imperative, now embedded in compulsory curriculum in the United States, Finland, the UK, Germany, Belgium, the Netherlands, New Zealand, and Australia. This meta-synthesis of 49 studies critically reviews recent international research (2009–2022) of coding and computational thinking as core and integrated across the curriculum. It addresses four essential problems: (a) What are the key features of learning environments that successfully develop students’ coding and computational thinking? (b) What is the impact of student engagement in coding and computational thinking on learning outcomes across curriculum areas? (c) What pedagogical constraints are evident for coding and computational thinking, including across curriculum areas? and (d) Which conceptual frameworks support coding and computational thinking, and what has been marginalized or excluded? The review advances knowledge of coding and computational thinking—vital to guide and develop future AI-based solutions to real-world problems that challenge disciplinary boundaries.","Computational thinking, Design Education",Semantic Scholar,https://journals.sagepub.com/doi/10.3102/00346543241241327 ,11/1/2025,Computational Thinking,Australia,
55,259615183,"The effect of generative artificial intelligence (AI)-based tool use on students' computational thinking skills, programming self-efficacy and motivation","Ramazan Yılmaz, F. Yilmaz",Computers and Education: Artificial Intelligence,2023,"ChatGPT (generative pre-trained transformer) is one of the artificial intelligence (AI) technologies that have started to be used in programming education. However, the effect of using ChatGPT in programming education on learning processes and outcomes is not yet known. This study investigated the effect of programming education using the ChatGPT on students' computational thinking skills, programming self-efficacy, and motivation toward the lesson. The research was conducted on 45 undergraduate students who took a university-level programming course. The research was carried out according to the experimental design with the pretest-posttest control group. Students were randomly divided into experimental (n = 21) and control (n = 24) groups. While the experimental group students benefited from the ChatGPT during the weekly programming practices, the control group students did not use this tool. Research data were obtained through the computational thinking scale, computer programming self-efficacy scale, and learning motivation in computer programming courses scale. Research findings revealed that the experimental group students' computational thinking skills, programming self-efficacy, and motivation for the lesson were significantly higher than the control group students. In line with this result, it can be said that it may be useful to benefit from AI technologies such as ChatGPT in programming trainings. The research findings, it was emphasized how the most effective use of AI support in the lessons could be made, and various suggestions were made for researchers and educators in this regard.","Artificial intelligence, ChatGPT, Generative pretrained transformer, Programming education, Computational thinking",Semantic Scholar,https://www.sciencedirect.com/science/article/pii/S2666920X23000267?via%3Dihub ,11/1/2025,Computational Thinking,Turkey,
56,270697691,"Effectiveness of artificial intelligence integration in design-based learning on design thinking mindset, creative and reflective thinking skills: An experimental study","Mustafa Saritepeci, H. Durak",Education and Information Technologies : Official Journal of the IFIP technical committee on Education,2024,"Integrating Artificial Intelligence (AI) into learning activities is an essential opportunity to develop students' varied thinking skills. On the other hand, design-based learning (DBL) can more effectively foster creative design processes with AI technologies to overcome real-world challenges. In this context, AI-supported DBL activities have a significant potential for teaching and developing thinking skills. However, there is a lack of experimental interventions in the literature examining the effects of integrating AI into learner-centered methods on active engagement and thinking skills. The current study aims to explore the effectiveness of AI integration as a guidance and collaboration tool in a DBL process. In this context, the effect of the experimental application on the participants’ design thinking mindset, creative self-efficacy (CSE), and reflective thinking (RT) self-efficacy levels and the relationship between them were examined. The participants used ChatGPT and Midjourney in the digital story development process as part of the experimental treatment. The only difference between the control and experimental groups in the digital storytelling process is the AI applications used in the experimental treatment (ChatGPT and Midjourney). In this quasi-experimental method study, participants were randomly assigned to treatment, an AI integration intervention, at the departmental level. 87 participants (undergraduate students) in the experimental group and 99 (undergraduate students) in the control group. The implementation process lasted five weeks. Partial Least Squares (PLS), Structural Equation Modeling (SEM), and Multi-Group Analysis (MGA) were made according to the measurements made at the T0 point before the experiment and at the T1 point after the experiment. According to the research result, the intervention in both groups contributed to the creative self-efficacy, critical reflection, and reflection development of the participants. On the other hand, the design thinking mindset levels of both groups did not show a significant difference in the comparison of the T0 point and the T1 point.","Concept Formation, Instructional Theory, Instructional Design, Instructional Psychology, Learning Process, Technology and Design education",Semantic Scholar,https://link.springer.com/article/10.1007/s10639-024-12829-2 ,11/2/2025,Design Thinking,Turkey,
57,259669834,Effectiveness of STEM Learning Based on Design Thinking in Improving Critical Thinking Skills in Science Learning: A Meta-Analysis,"Zulyusri Zulyusri, Tomi Apra Santosa, F. Festiyed, Y. Yerimadesi, Y. Yohandri, A. Razak, Aulia Sofianora",Jurnal Penelitian Pendidikan IPA,2023,"This study aims to determine the effectiveness of Design Thinking-based STEM learning in improving students' critical thinking skills in science learning. This research is a type of meta-analysis research. Data sources in the study came from 100 national and international journals published from 2017-2023. Search for data sources through google scholar, Eric, Wiley, Taylor of Francis, Sciencedirect, and ProQuest. Data collection techniques through direct observation through the journal database. The keywords used in the search are STEM model, Design Thinking, Critical thinking skills and Science learning. Data analysis technique is quantitative descriptive analysis with JSAP application. The effect size of each study on the STEM learning model based on design thinking in science learning is 0.84 with large criteria. The results of the study can be concluded that the STEM learning model based on design thinking is effective for improving critical thinking skills in science learning. STEM learning model based on design thinking is very good to be applied in science learning in Indonesia","Critical thinking skills, Design thinking, Science; STEM",Semantic Scholar,https://www.semanticscholar.org/reader/a7965630815bb3183e55ebdd62a04b37b8c6cc9d ,11/2/2025,Design Thinking,Indonesia,
58, 259006235,Systematic Literature Review: TPACK-Integrated Design Thinking in Education,"Abdul Rahman, Tomi Apra Santosa, Aulia Sofianora, Flavia Oktavianti, Rodhiatul Alawiyah, Ringgo Putra, Ilwandri Ilwandri",International Journal of Education and Literature,2023,"This research aims to analyze design thinking integrated with technological pedagogical content knowledge (TPACK) in ducation. This research is a type of systematic literature review (SLR) research with the PRISMA method. The data sources in the study came from 10 national and international journals published between 2018- 2023 and indexed by SINTA, Scopus, and WOS. The search for data sources comes from Google Scholar, MPDI, ScienceDirect, Wiley, and Eric. The analysis shows that 1) TPACK-integrated design thinking has a positive impact on the learning process, and 2) design thinking integrated with TPACK in education has a variety of forms both in theory and practice. Based on these findings, it can be concluded that the concept of design thinking integrated with TPACK is very necessary to be developed in the education system in Indonesia. Design thinking integrated with TPACK is able to encourage students' critical thinking skills and creativity in learning.",,Semantic Scholar,https://www.semanticscholar.org/paper/Systematic-Literature-Review%3A-TPACK-Integrated-in-Rahman-Santosa/d500ca9e1731fcab7aa375b72aaa530744f01ae6 ,11/2/2025,Design Thinking,Indonesia,
59,57998132,Design thinking: What just happened?,Nigel Cross,Design Studies,2023,"Something extraordinary happened with design thinking in recent times. The past decade saw an immense growth in publications on design thinking. Figure 1 shows the recent steep rise in the occurrence of the phrase ‘design thinking’ within English language print media since 1950 – almost none at all until 2005 when a rise began and then accelerated away from 2010. A search for the publication of books with ‘design thinking’ in their title also shows a big increase in the past decade (Figure 2). It has become the topic of books from ‘Business Design Thinking’ to ‘Health Design Thinking’ and even ‘Design Thinking for Dummies’. Most of the recent growth has been within the business/management field, but there has also been notable growth in other fields, such as education. In addition to books that have ‘design thinking’ in their titles there are quite a few more that are about design thinking but don't use the phrase in their titles.","Design Thinking, ",Semantic Scholar,https://www.sciencedirect.com/science/article/pii/S0142694X23000285?via%3Dihub ,11/2/2025,Design Thinking,United Kingdom,
60,268513121,The Effects of Generative AI on Design Fixation and Divergent Thinking,"Samangi Wadinambiarachchi, Ryan M. Kelly, Saumya Pareek, Qiushi Zhou, Eduardo Velloso",International Conference on Human Factors in Computing Systems,2024,"Generative AI systems have been heralded as tools for augmenting human creativity and inspiring divergent thinking, though with little empirical evidence for these claims. This paper explores the effects of exposure to AI-generated images on measures of design fixation and divergent thinking in a visual ideation task. Through a between-participants experiment (N=60), we found that support from an AI image generator during ideation leads to higher fixation on an initial example. Participants who used AI produced fewer ideas, with less variety and lower originality compared to a baseline. Our qualitative analysis suggests that the effectiveness of co-ideation with AI rests on participants’ chosen approach to prompt creation and on the strategies used by participants to generate ideas in response to the AI’s suggestions. We discuss opportunities for designing generative AI systems for ideation support and incorporating these AI tools into ideation workflows.","Generative AI, Design thinking",Semantic Scholar,https://dl.acm.org/doi/10.1145/3613904.3642919 ,11/2/2025,Design Thinking,Australia,
61,269725585,Redefining Architectural Pedagogy: Navigating the Integration of Midjourney AI in Design Education,Nesrine Mansour,"112th ACSA Annual Meeting Proceedings, Disruptors on the Edge",2024,"This paper examines the integration of Midjourney AI in architectural education, aimed at navigating digital pedagogy. By reviewing a case study from an Architecture studio, the paper seeks to understand the benefits, challenges, and ethical implications of embedding AI technologies in architectural learning. Traditional architectural education hasprimarily focused on design principles, technical skills, and historical context. However, introducing AI presents an opportunityto expand the pedagogical scope, enabling students to engage with emerging concepts and techniques. A Design/ Research studio, titled “The Sacred in Between: Architectural Explorations of Sacred Spaces,” enabled students in exploringthe concept of “the sacred” through digital and physical artifacts, employing AI as a novel tool. Utilizing Midjourney AI,students synthesized relevant readings and discussions to create imagined scenes, with an extensive array of imagesaiding the initial design process. Additionally, reflections on encounters with AI spurred a class debate on AI’s influence on architectural education and the profession.A core discussion emerged around the potential decrease in human agency and creativity due to an overreliance onAI, which may lead to a standardized design approach, thus inhibiting individual expression and innovation. The ethical dimension of integrating AI into the curriculum was also explored, with concerns regarding authorship. Advocacy fora critical understanding of AI’s social and ethical implications was emphasized. The incorporation of AI in architectural education opens avenues for curriculum diversification, design exploration, and interdisciplinary collaboration,especially in a digital-centric society propelled towards the Metaverse. However, preserving human agency, addressingethical issues, and equipping students for a dynamic professional landscape are imperative. This integration encourages architectural institutions to empower students in navigating complex design challenges amid rapid technological changes, urging a re-evaluation of architecture’s manifestation in digital realms as discourse increases in this domain.","Artificial Intelligence, Architectural Pedagogy, Design Education",Semantic Scholar,https://www.acsa-arch.org/chapter/fabricity-xr-a-phygital-lattice-structure-mapping-spatial-justice-integrated-design-to-ar-enabled-assembly-workflow/ ,11/2/2025,AI in Design Education,United States,
62,274486675,MACHINES AND IMAGINATION: NAVIGATING THE CHALLENGES OF GENERATIVE AI IN DESIGN EDUCATION,"Rghad Balkhyoor, Emil Polyak",ICERI proceedings,2024,"The rapid integration of generative artificial intelligence (genAI) into design practices marks a transformative shift in the field, presenting a critical juncture for design education. This paper examines the implications of genAI as a transformative technology on the development of future designers, focusing on its potential impact on essential cognitive processes, particularly heteromorphic imagination. We argue that the uncritical adoption of genAI in design education may inadvertently alter the free flow of imaginative thought, which is crucial for innovative and original design solutions. GenAI, while revolutionizing the production of prototypes and visualizations, may influence designers to focus prematurely on concrete outcomes, potentially bypassing the exploratory stage of heteromorphic imagination. This fluid, non-linear phase of ideation is fundamental to the development of diverse, innovative concepts and is intrinsically linked to the phenomenological experience of the creative process. The paper addresses concerns about the potential homogenization of ideas, the impact on cognitive development traditionally fostered through exploratory, experimental, and hands-on learning experiences, and the industry's promotion of AI integration in education despite a lack of established methodologies. We also highlight critical ethical concerns, including the use of machine learning models trained on artists' work without explicit permission, and the substantial carbon footprint associated with AI systems. These ethical considerations add complexity to the educational challenge of integrating genAI responsibly. In response, we propose that design education must evolve to nurture heteromorphic imagination while thoughtfully integrating genAI as a transformative technology. This approach involves developing new pedagogical strategies that emphasize open-ended exploration, embrace ambiguity, and cultivate the unique aspects of human creativity, while also addressing ethical and environmental concerns. By confronting these challenges, we aim to contribute to the development of designers who can harness the transformative power of AI while maintaining the essential human aspects of creative thinking and ethical consideration necessary for innovative and responsible design in the 21st century.","Design education, Generative AI, Creativity, Pedagogical strategies, Ideation, Heteromorphic imagination.",Semantic Scholar,https://library.iated.org/view/BALKHYOOR2024MAC ,11/2/2025,AI in Design Education,United States,
63,282253932,BALANCING CREATIVITY AND TECHNOLOGY: THE USE OF AI IN DESIGN EDUCATION,"Rabella Abro, Jamil Ahmed, Rajesh Kumar Oad, Umair Jamil Ahmad",Kashf Journal of Multidisciplinary Research,2025,"Artificial Intelligence is revolutionizing the creative process of design by improving the quality of work, operational efficiency, and overall productivity. However, AI integration into the art and design domain faces many challenges and concerns, including the ethical issues of originality, genuineness, and intellectual property, the risk of designers’ overdependence on AI, and declining creative skills. This study applied a cross-sectional descriptive design. Adopting a mixed-methods methodology, both quantitative and qualitative data were collected using a standardized online questionnaire from art and design students enrolled at the university level across Pakistan to investigate the adoption, usage, and purpose of AI use in art and design processes. The collected responses from 94 design students revealed the growing popularity of AI design tools like Midjourney (34.04%), Adobe Firefly (31.91%), ChatGPT (29.79%), and others among design students for design idea generation (60.64%), exploring visual styles (45.74%), developing design variations (29.79%), and regaining creative flow (29.79%). A significant majority of designers (89.36%) perceived AI as enhancing their originality in design. While 79.79% suggested positive AI usage in design education. Further, 47.87% emphasized preserving human creativity in the design process. Moreover, 51.06% urged awareness regarding critical thinking and ethical use of AI in design. Conversely, AI was also perceived as hindering originality in design (40.43%), specifically, concerns for over-reliance on AI, and declining critical thinking, reduced authenticity, and credibility. Therefore, a balanced integration strategy is required that augments creative works and preserves human creativity. The study recommends the formation and practice of policies for ethical AI use and promoting AI literacy to maintain a positive and beneficial AI integration within the field.","Artificial Intelligence, Design Education, Creative Learning",Semantic Scholar,https://kjmr.com.pk/kjmr/article/view/656 ,11/2/2025,AI in Design Education,Pakistan,
64,270458989,Redefining creative education: a case study analysis of AI in design courses,"Mohd Firdaus Naif Omran Zailuddin, Nik Ashri Nik Harun, Haris Abadi Abdul Rahim, A. F. Kamaruzaman, Muhammad Hawari Berahim, Mohd Hilmi Harun, Yuhanis Ibrahim","
Journal of Research in Innovative Teaching ",2024,"PurposeThe purpose of this research is to explore the transformative impact of AI-augmented tools on design pedagogy. It aims to understand how artificial intelligence technologies are being integrated into educational settings, particularly in creative design courses, and to assess the potential advancements these tools can bring to the field.Design/methodology/approachThe research adopts a case-study approach, examining three distinct courses within a creative technology curriculum. This methodology involves an in-depth investigation of the role and impact of AI in each course, focusing on how these technologies are incorporated into different creative disciplines such as production design, fine arts, and digital artistry.FindingsThe research findings highlight that the integration of AI with creative disciplines is not just a passing trend but signals the onset of a new era in technological empowerment in creative education. This amalgamation is found to potentially redefine the boundaries of creative education, enhancing various aspects of the learning process. However, the study also emphasizes the irreplaceable value of human mentorship in cultivating creativity and advancing analytical thinking.Research limitations/implicationsThe limitations of this research might include the scope of the case studies, which are limited to three courses in a specific curriculum. This limitation could affect the generalizability of the findings. The implications of this research are significant for educational institutions, as it suggests the need for a balanced interaction between AI's computational abilities and the intrinsic qualities of human creativity, ensuring that the core essence of artistry is preserved in the age of AI.Originality/valueThe originality of this paper lies in its specific focus on the intersection of AI and creative education, a relatively unexplored area in design pedagogy. The value of this research is in its contribution to understanding how AI can be harmoniously integrated with traditional creative teaching methods. It offers insights for educational institutions preparing for this technological transformation, highlighting the importance of maintaining a balance between technological advancements and humanistic aspects of creative education.","Artificial intelligence, Design education, Creativity, Case study, Integration, Creative technology",Semantic Scholar,https://www.emerald.com/jrit/article/17/2/282/1226811/Redefining-creative-education-a-case-study ,11/2/2025,AI in Design Education,Malaysia,
65,274576883,Integrating Text-to-Image AI in Architectural Design Education: Analytical Perspectives from a Studio Experience,"Sinem Cinar, Melek Demiroz",Journal of Design Studio,2024,"This paper examines the integration of artificial intelligence (AI) into architectural design education, with a particular focus on the utilization of text-to-image AI tools in a third-year design studio project at Atılım University. The objective of the project was to examine the potential of AI-supported visual representation tools in conceptualizing future public spaces in Ankara. The study employs a combination of practical experimentation and theoretical analysis to examine the impact of text-to-image AI tools on design thinking and processes, as reflected in student projects generated through these tools. The research underscores the potential of integrating AI into architectural design education to foster creativity and critical thinking, emphasizing the underlying design principles and methods beyond mere visual outputs. The principal findings demonstrate that AI tools have the capacity to considerably extend the scope of design possibilities, assisting students in transcending the conventional boundaries of design. However, the research underscores the necessity of striking a balance between visual outputs and conceptual depth, ensuring that AI serves as an aid rather than a replacement in the comprehensive design process. A robust theoretical framework is vital for guiding AI integration and fostering critical understanding and thinking among students. This research contributes to the ongoing discourse on the role of AI in reshaping architectural practice and education, proposing a balanced approach that values both technological proficiency and conceptual depth.","Generative AI, Design Education, Studio Pedagogy",Semantic Scholar,https://dergipark.org.tr/en/pub/journalofdesignstudio/issue/86780/1526771 ,11/2/2025,AI in Design Education,Turkey,
66,236345767,"Exploring the Structural Relationship Between University Support, Students’ Technostress, and Burnout in Technology-enhanced Learning","Guoqing Zhao, Qiong Wang, Lin Wu, Yan Dong",The Asia-Pacific Education Researcher,2021,"University students always suffer from technostress and experience burnout during technology-enhanced learning (TEL). Research revealing whether and how university support contributes to eliminate them lacks. This study aims to investigate the structural relationship among university support (i.e., administration support and peer support), students’ ICT competence, technostress, and learning burnout. Altogether 1,785 students studying at three Chinese universities participated in this study by filling out a self-reported questionnaire revised from previous literatures and validated with confirmatory factor analysis (CFA). Structural equation modelling (SEM) revealed that: (a) university students’ technostress significantly predicted their learning burnout in TEL; (b) administration support was essential in alleviating students’ technostress and burnout; (c) peer support negatively predicted students’ learning burnout but did not predict their technostress; (d) ICT competence alone had no significant effects on technostress. Moreover, multiple group comparisons based on genders found that females benefited more from administrator support in alleviating learning burnout than males. In contrast, males benefit more from peer support in improving their ICT competence than females. Implications for alleviating university students’ technostress and learning burnout in TEL were discussed.","Computers and Education, Educational Research, Engineering and Technology Education, Gender and ICT, Higher Education, Technology and Design education",Semantic Scholar,https://link.springer.com/article/10.1007/s40299-021-00588-4 ,11/2/2025,Technology Enhanced Learning,China Republic,
67,264149393,A systematic review of digital innovations in technology-enhanced learning designs in higher education,"Derek L. Choi-Lundberg, K. Butler-Henderson, Kristyn Harman, J. Crawford",Australasian Journal of Educational Technology,2023,"In the years prior to the COVID-19 pandemic, there was considerable innovation in designing and implementing teaching and learning with technology in fully online, face-to-face and blended modes. To provide an overview of technology-enhanced learning in higher education, we conducted a systematic literature review following PRISMA guidelines of digital innovations in learning designs between 2014 and 2019, prior to emergency remote teaching responses to the COVID-19 pandemic. From 130 publications, we identified eight overlapping categories of digital technologies being deployed across higher education fields: simulation and augmented or virtual reality; Web 2.0; learning management systems; mobile learning; gamification and serious games; various technologies in classrooms; massive open online courses; and other software, websites, applications and cloud computing. We use these publications, supplemented with findings from selected meta-analyses and systematic reviews of specific technologies, as examples to guide educators designing technology-enhanced learning activities in changing circumstances that may require blended or fully online delivery. As the 130 publications had mixed perceived quality, levels of evidence and details of learning designs and evaluation presented, we suggest educators share their innovations following reporting guidelines relevant to their research methodologies, enabling others to consider transferability to other contexts and to build on their work. Implications for practice or policy: Leaders and administrators should support staff development of technological pedagogical content knowledge and teaching as design for student learning. Educators and instructional designers, in designing learning experiences, should consider adult learning theories, inclusive practices and digital equity and leverage multiple technologies to facilitate students learning their curricula. In educational research or scholarship of teaching and learning, researchers should provide sufficient detail to enable readers to assess transferability to their own contexts.","cooperative and collaborative learning, learning communities, online learning, blended learning, technology-enhanced learning, teaching and learning strategies, systematic literature review ",Semantic Scholar,https://www.semanticscholar.org/paper/A-systematic-review-of-digital-innovations-in-in-Choi-Lundberg-Butler-Henderson/114d18c5bc3cb84e613cd3efc57bdcd1721edf7e ,11/2/2025,Technology Enhanced Learning,Australia,
68,252343147,"Effects of technology enhanced peer, teacher and self-feedback on students’ collaborative writing, critical thinking tendency and engagement in learning","D. Zou, Haoran Xie, F. Wang",Journal of Computing in Higher Education,2022,"eer, teacher, and self-feedback have been widely applied in English writing courses in higher education. However, few studies have used technology to activate the potential of feedback in project-based collaborative learning or discussed how technology-enhanced peer, teacher and self-feedback may assist students’ writing, promote their critical thinking tendency, or enhance their engagement in learning, so we investigated them in this research. A total of 90 students, 30 in each group, participated in it. They reported their progress at four stages every other week, received peer, teacher, and self-feedback respectively for 10 weeks, and submitted their finalized review articles in week 14. Before the treatment, we evaluated the students’ writing proficiency and critical thinking tendency through a pre-test and a pre-questionnaire survey. After the treatment, we evaluated their collaborative writing products and conducted a post-questionnaire survey to measure their critical thinking tendency and behavioral, cognitive, and emotional engagement in learning. The results indicated that technology-enhanced peer and teacher feedback were significantly more effective than self-feedback in assisting collaborative writing; peer and self-feedback were significantly more effective than teacher feedback in promoting critical thinking tendency, enhancing behavioral and emotional engagement in learning; and teacher feedback was significantly more effective than self-feedback in enhancing cognitive engagement in learning. We also conducted semi-structured interviews to investigate their perception of the three feedback types and the technology-enhanced feedback-assisted collaborative writing experience. Most students enjoyed the writing experience and regarded the use of digital tools effective for its implementation. Based on these results, we suggest that teachers implement more technology-enhanced peer and self-feedback assisted collaborative writing.",Technology Enhanced Learning,Semantic Scholar,https://link.springer.com/article/10.1007/s12528-022-09337-y ,11/2/2025,Technology Enhanced Learning,Hong Kong,
69,238650770,"Students' perceived benefits, adoption intention and satisfaction to technology-enhanced learning: examining the relationships","Pushkar Dubey, K. Sahu",Journal of Research in Innovative Teaching & Learning,2021,"PurposeProviding quality education with the help of technologies in order to create global competitiveness among the students is the current trend in the education field. This research attempts to investigate following objectives: (1) the effect of students' perceived benefits and adoption intention of technology-enhanced learning (TEL) on their satisfaction; (2) the effect of students' perceived benefits of TEL on their adoption intention of TEL; (3) the mediating and moderating effect of students' perceived benefits of TEL in the link between students' adoption intention and satisfaction to TEL.Design/methodology/approachThe primary data were collected from 600 undergraduate and postgraduate students, particularly those who are using TEL for at least one year. The authors used purposive sampling technique with “criterion variable”.FindingsResults indicated that students' perceived benefits and adoption intention of TEL have significant and positive influence on their satisfaction. Direct effect was also found between perceived benefits and adoption intention of students. Authors also concluded that mediating and moderating effect of students' perceived benefits of TEL in the link between students' adoption intention and satisfaction for TEL was found significant and positive.Originality/valueThere is a huge lack of empirical studies available in the knowledge domain explaining the significance and implication of TEL in higher education in the state of Chhattisgarh, India.","Technology Enhanced Learning, Students’ perceived benefits, Adoption intention, Student satisfaction, Technology-enhanced
learning, Higher education, Academic performance",Semantic Scholar,https://www.semanticscholar.org/reader/1abb6c2e5480ff4ea668c138382649c6a4c74546 ,11/2/2025,Technology Enhanced Learning,India,
70,226320333,"Technology-enhanced collaborative language learning: theoretical foundations, technologies, and implications","Fan Su, D. Zou",Computer Assisted Language Learning,2020,"With the emergence of educational technology, technology-enhanced collaborative language learning had gained increasing attention from learners, educators, and researchers, and a large number of studies had been conducted to investigate the effects of technology-enhanced collaborative learning on students’ development of language knowledge and affective status. However, little comprehensive review that investigated all aspects of the field thoroughly had been conducted, and the present research was an attempt in response to this call. Specifically, this research reviewed 40 articles on technology-enhanced collaborative language learning from five aspects, (1) the nature of publications, (2) the theoretical frameworks of the previous research, (3) the types of the technologies for collaborative language learning, (4) the effectiveness of the technologies, and (5) the implications of the studies. The results showed 10 theoretical frameworks, nine types of technologies, and 11 benefits of technology-enhanced collaborative language learning. Important implications were also discussed for future design and implementation of technology-enhanced collaborative language learning activities.","Collaborative learning, Computer assisted language learning, Educational technology, Mobile assisted language learning",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/09588221.2020.1831545 ,11/2/2025,Technology Enhanced Learning,China Republic,
71,269978089,The Effect of Creative Learning Models towards Students' Learning Outcomes of Thematic Learning at Grade III SD Negeri 01 Ulak Karang Selatan,"Salmatun Zahra, Ayunis Ayunis",TOFEDU: The Future of Education Journal,2024,"Conventional learning caused students` creativity to be low in thematic learning. That affects students` learning outcomes. Looked at the percentage of student achievements, which is still 60% below the KKM. So, it is necessary to use creative learning to develop students` creativity. This study aims to find out whether there is an effect of creative learning models on learning outcomes and thematic learning in Class III SD Negeri 01 Ulak Karang South. This study is an experimental study using the tes in thema 3, sub-thema 4, that is carried out in two classes. Subjects in this study are students of class III SD Negeri 01 Ulak Karang South, which is 24 students in class IIIc and 20 students in class IIId. Students` learning outcomes are measured on the test sheets. From the results of the research, it can be seen that there is an influence of the models of creative exchanges taught on the learning results of students in thematic learning class III SD Negeri 01 Ulak Karang South. This is shown by the difference between the average pre-test experimental score of 65.5 and the post-test experimental score of 89.5, whereas the mean pre-test control class score is 62.29 and the post-test control class score is 78.12. Also can be seen on the hypothesis T test obtained sig. (2 tailed) 0,003 < 0, 05, then it can be concluded there is an influence of creative learning models on learning outcomes in thematic learning class III SD Negeri 01 Ulak Karang South.","Creative Learning Model, Thematic Learning, Learning Outcomes",Semantic Scholar,https://www.semanticscholar.org/paper/The-Effect-of-Creative-Learning-Models-towards-of-Zahra-Ayunis/588af9de703653e3e55d58e860b53ec474f4bc09 ,11/6/2025,"""creative learning"" AND ""architecture education""",Indonesia,
72,273472365,A cross-domain systematic review on guest speakers in higher education: Reconsidering the role of “outsiders” in architecture education,Dania Abdelaziz,"MEGARON / Yıldız Technical University, Faculty of Architecture E-Journa",2024,"Guest speaker events, as a form of instructional strategy in higher education settings, has long been recognized as a valid pedagogical method, whereas the factors that either promote or hinder the efficacy of this strategy in architecture education has not been extensively investigated. Accordingly, this paper presents a cross-domain literature review on the topic. The findings of the review have led to a discussion on guest speakers in design studios as an effective manifestation of inquiry-based learning (IBL). By searching 8 databases using the PICO framework, a systematic literature review was conducted to an in-depth examination of 35 articles across 25 domains in higher education, followed by a thematic analysis considering Braun and Clarke’s approach. The interpretive analysis yielded six themes: (1) bridging academia and practice, (2) speaker selection, (3) event planning, (4) content and format, (5) interaction mode, and (6) students’ preferences. While incorporating guest speakers can enhance student engagement, critical thinking, and networking, successful implementation hinges on addressing several factors such as the role of instructors’ guidance and tailoring topics and guest speakers’ selection with students' levels. Students' engagement with guest speakers in exploring content, issues, real-world perspectives and questions aligns with experiential learning and IBL principles. The study underscores the need for additional research in architecture education to understand students’ and instructors’ perceptions, concerning the role of guest speakers particularly on issues like contributions to learning, influence on design approaches and the implications for developing collaborative pedagogical practices. Cite this article as: Abdelaziz, D., Kasalı, A., Akış, T. (2024). A cross-domain systematic review on guest speakers in higher education: Reconsidering the role of “outsiders” in architecture education","Design education, cross-domain literature, higher education, guest speakers, inquiry-based learning.",Semantic Scholar,https://www.semanticscholar.org/reader/285fc5fe49c6db8386a0ea72bb935eae6b98b98a,11/6/2025,"""creative learning"" AND ""architecture education""",Jordan,
73,265689639,A tale of four studios: Evolving planning and architecture education towards mixed modality in a post-pandemic world,"Hossam Hewidy, Eva Purkarthofer, Susa Eräranta",Education and Information Technologies : Official Journal of the IFIP technical committee on Education,2023,"The COVID-19 pandemic imposed urgent challenges for educational institutions. The sudden shift from on-site teaching to online distance learning offered the possibility to examine new settings of the studio, a core element of planning and architecture education. Although the pandemic is now over, online learning has secured a fixed place in university education, and consequently, educational institutions need to reconsider studio education based on the lessons learned during the pandemic. Through studying four studios taught at Aalto University, Finland, in 2020 and 2021, this article examines student-teacher experiences, and proposes opportunities for evolving studio education. The findings show that distance learning has in general sustained the objectives of studio education. However, challenges remain especially regarding the social aspects of learning. The degree of success of online teaching varied greatly depending on the tasks and the orientation of the studio (design or strategy). Technological aids and devices also had an influence on fulfilling the pedagogical objectives of learning. Professional socialization was highly affected by the online environment both in design and planning studios and the architectural representation witnessed difficulties specifically in design studios. To evolve the studio setting, the article suggests a mixed modality model supporting the social dimension of studio teaching by combining on-site and online learning activities to enrich the learning process. Such a model can harmonize the intended learning objectives and activities with the teaching methods and modality, thus improving the social dimension of studio teaching.","Experiential Education, Holistic Education, Pedagogy, Technology and Design education, Didactics and Teaching Methodology",Semantic Scholar,https://link.springer.com/article/10.1007/s10639-023-12320-4,11/6/2025,"""creative learning"" AND ""architecture education""",Finland,
